SESTAT DATA DICTIONARY/FILE LAYOUT FOR EPCG23.DAT

SAS NAME          LENGTH   FORMAT   START    END     TYPE         LABEL
FNVSATP            0001    $CHAR1.  00640    00640   Character    V_DEM_FIRST_CAME_VISA_TYPE
FSDED              0001    $CHAR1.  00641    00641   Character    I_JOB_GOV_AGCY_SUPP_EDUC
FSDK               0001    $CHAR1.  00642    00642   Character    I_JOB_GOV_AGCY_SUPPORT_DONT_KNOW
FSDOD              0001    $CHAR1.  00643    00643   Character    I_JOB_GOV_AGCY_SUPP_DEFENSE
FSDOE              0001    $CHAR1.  00644    00644   Character    I_JOB_GOV_AGCY_SUPP_ENERGY
FSHHS              0001    $CHAR1.  00645    00645   Character    I_JOB_GOV_AGCY_SUPP_HHS
FSNASA             0001    $CHAR1.  00646    00646   Character    I_JOB_GOV_AGCY_SUPP_NASA
FSNIH              0001    $CHAR1.  00647    00647   Character    I_JOB_GOV_AGCY_SUPP_NIH
FSNSF              0001    $CHAR1.  00648    00648   Character    I_JOB_GOV_AGCY_SUPP_NSF
FSOT               0001    $CHAR1.  00649    00649   Character    I_JOB_GOV_AGCY_SUPP_OTHR
FTPRET             0001    $CHAR1.  00650    00650   Character    B_JOB_RETIRED_PREVLY_IND
FTPRTYR            0009    9.0      00651    00659   Numeric      B_JOB_RETIRED_PREVLY_YR
GOVSUP             0001    $CHAR1.  00660    00660   Character    I_JOB_GOV_AGCY_SUPPORT_IND
GRFAST             0001    $CHAR1.  00661    00661   Character    N_ED_GR_FINAN_SUPP_WRK_STUDY
GRFEM              0001    $CHAR1.  00662    00662   Character    N_ED_GR_FINAN_SUPP_EMPR
